state,unmet_need,se.unmet_need,year,pred,pred_upper,pred_lower
Africa:Senegal:Fatick:Fatick,0.2845528455284553,0.032867368220088,1993,0.2832183702374656,0.3452186303074976,0.2285562140117737
Africa:Senegal:Fatick:Fatick,,,1994,0.2859290355147574,0.3675044585714992,0.2161283966233163
Africa:Senegal:Fatick:Fatick,,,1995,0.2892065227777132,0.3838815450273455,0.2097501523776766
Africa:Senegal:Fatick:Fatick,,,1996,0.293120481921625,0.3969683393515811,0.2068906296060242
Africa:Senegal:Fatick:Fatick,,,1997,0.2976887852009927,0.4077576123819912,0.2067155660141138
Africa:Senegal:Fatick:Fatick,,,1998,0.3029294425067216,0.4167397134781793,0.2088376014167998
Africa:Senegal:Fatick:Fatick,,,1999,0.308861325639609,0.4241443881035935,0.2131286912298719
Africa:Senegal:Fatick:Fatick,,,2000,0.3155040281406812,0.4299550143096735,0.2196571134038259
Africa:Senegal:Fatick:Fatick,,,2001,0.3228776954340849,0.4339735019127929,0.2286855174158891
Africa:Senegal:Fatick:Fatick,,,2002,0.3310029840168214,0.4357760821933057,0.2407341207475209
Africa:Senegal:Fatick:Fatick,,,2003,0.3399015747520204,0.4344924531503189,0.2567812450694396
Africa:Senegal:Fatick:Fatick,,,2004,0.3495995667063488,0.42827876447082,0.2786969646238878
Africa:Senegal:Fatick:Fatick,0.3807907421665099,0.0286855422888544,2005,0.3603247527797306,0.4109289350166715,0.3128275480695518
Africa:Senegal:Fatick:Fatick,,,2006,0.3448351692970975,0.4187579695129196,0.2780687542633213
Africa:Senegal:Fatick:Fatick,,,2007,0.3305361809551888,0.4130531028359533,0.2574630424104349
Africa:Senegal:Fatick:Fatick,,,2008,0.3171971647392351,0.399327016546191,0.2450802783313269
Africa:Senegal:Fatick:Fatick,,,2009,0.3047822213939022,0.3781530357646701,0.2400482243091594
Africa:Senegal:Fatick:Fatick,0.2890123630442759,0.0352875839027397,2010,0.2931716075420022,0.3466470423649675,0.244764827571723
Africa:Senegal:Fatick:Fatick,,,2011,0.2875056922679715,0.3484134926182389,0.233323286069384
Africa:Senegal:Fatick:Fatick,0.2865649326571417,0.0333568174193027,2012,0.2829159004346031,0.3319352463415171,0.2384671230997814
Africa:Senegal:Fatick:Fatick,,,2013,0.2640062414494574,0.3223729696665502,0.2126901507549929
Africa:Senegal:Fatick:Fatick,0.2405183514403022,0.0595990465710166,2014,0.2468771431343609,0.2960317578835262,0.2032257592341634
Africa:Senegal:Fatick:Fatick,0.2169112892345643,0.0221901551048967,2015,0.2349489498235122,0.2709807553801839,0.2021993130540569
Africa:Senegal:Fatick:Fatick,0.2849793856293506,0.0384482203425554,2016,0.2270707366783275,0.2662261039118155,0.1923813980561177
Africa:Senegal:Fatick:Fatick,0.1816995038345258,0.0260893090863914,2017,0.2124333155672775,0.250274616793653,0.1787646447018464
Africa:Senegal:Fatick:Fatick,0.227357502916835,0.0543387649933406,2018,0.2161461645732997,0.2594567168401811,0.1782992387343142
Africa:Senegal:Fatick:Fatick,0.2328006928577688,0.0240677909141851,2019,0.221532223554663,0.2615791566404561,0.1861552310786935
